"park_code","park","year","month_number","month","recreation_visits"
"EVER","Everglades National Park","2024","2","February","83898"
"EVER","Everglades National Park","2024","3","March","96400"
"EVER","Everglades National Park","2024","4","April","58807"
"EVER","Everglades National Park","2024","5","May","43859"
"EVER","Everglades National Park","2024","6","June","53704"
"EVER","Everglades National Park","2024","7","July","65941"
"EVER","Everglades National Park","2024","8","August","56695"
"EVER","Everglades National Park","2024","9","September","37708"
"EVER","Everglades National Park","2024","10","October","38085"
"EVER","Everglades National Park","2024","11","November","60247"
"EVER","Everglades National Park","2024","12","December","81054"
"EVER","Everglades National Park","2025","1","January","89939"
"EVER","Everglades National Park","2025","2","February","87926"
"EVER","Everglades National Park","2025","3","March","99017"
"EVER","Everglades National Park","2025","4","April","84148"
"EVER","Everglades National Park","2025","5","May","61712"
"EVER","Everglades National Park","2025","6","June","59249"
"EVER","Everglades National Park","2025","7","July","70103"
"EVER","Everglades National Park","2025","8","August","50464"
"EVER","Everglades National Park","2025","9","September","32290"
"EVER","Everglades National Park","2025","10","October","19008"
"EVER","Everglades National Park","2025","11","November","53416"
"EVER","Everglades National Park","2025","12","December","70926"
